Year,Month,Day,Value
2020,1,1,Trace
2020,1,2,0
2020,1,3,0
2020,1,4,0
2020,1,5,0
2020,1,6,0
2020,1,7,Trace
2020,1,8,0
2020,1,9,0
2020,1,10,0
2020,1,11,0
2020,1,12,0
2020,1,13,0
2020,1,14,0
2020,1,15,0.1
2020,1,16,Trace
2020,1,17,0
2020,1,18,0
2020,1,19,0
2020,1,20,0
2020,1,21,0
2020,1,22,Trace
2020,1,23,0
2020,1,24,Trace
2020,1,25,2.1
2020,1,26,12.3
2020,1,27,0.2
2020,1,28,0.1
2020,1,29,0
2020,1,30,0
2020,1,31,0
2020,2,1,0
2020,2,2,0
2020,2,3,Trace
2020,2,4,0.8
2020,2,5,1
2020,2,6,Trace
2020,2,7,0
2020,2,8,0
2020,2,9,Trace
2020,2,10,0
2020,2,11,0.8
2020,2,12,0
2020,2,13,41.6
2020,2,14,9.7
2020,2,15,Trace
2020,2,16,25.5
2020,2,17,0
2020,2,18,0
2020,2,19,0
2020,2,20,0
2020,2,21,0
2020,2,22,0
2020,2,23,0
2020,2,24,0
2020,2,25,Trace
2020,2,26,0
2020,2,27,0.4
2020,2,28,0
2020,2,29,0
2020,3,1,0
2020,3,2,Trace
2020,3,3,Trace
2020,3,4,3.1
2020,3,5,0.4
2020,3,6,Trace
2020,3,7,Trace
2020,3,8,Trace
2020,3,9,Trace
2020,3,10,Trace
2020,3,11,Trace
2020,3,12,Trace
2020,3,13,0
2020,3,14,0.4
2020,3,15,0
2020,3,16,0
2020,3,17,0
2020,3,18,10.7
2020,3,19,0.8
2020,3,20,0.4
2020,3,21,0.2
2020,3,22,0
2020,3,23,0
2020,3,24,Trace
2020,3,25,Trace
2020,3,26,1
2020,3,27,Trace
2020,3,28,9.8
2020,3,29,2.2
2020,3,30,6.5
2020,3,31,5.8
2020,4,1,0.2
2020,4,2,0.4
2020,4,3,0.6
2020,4,4,1.1
2020,4,5,4.6
2020,4,6,21.5
2020,4,7,Trace
2020,4,8,0
2020,4,9,0
2020,4,10,0
2020,4,11,20.5
2020,4,12,0.4
2020,4,13,0
2020,4,14,0
2020,4,15,0
2020,4,16,0
2020,4,17,0
2020,4,18,Trace
2020,4,19,0
2020,4,20,0
2020,4,21,0
2020,4,22,25.8
2020,4,23,1.3
2020,4,24,0.6
2020,4,25,0.1
2020,4,26,0.7
2020,4,27,0
2020,4,28,0
2020,4,29,0
2020,4,30,0
2020,5,1,0
2020,5,2,0
2020,5,3,0
2020,5,4,0
2020,5,5,0
2020,5,6,0
2020,5,7,0
2020,5,8,0.1
2020,5,9,0.1
2020,5,10,0.8
2020,5,11,14.8
2020,5,12,3.6
2020,5,13,0.3
2020,5,14,0.1
2020,5,15,0
2020,5,16,0
2020,5,17,Trace
2020,5,18,46.7
2020,5,19,0
2020,5,20,4.3
2020,5,21,84.6
2020,5,22,17
2020,5,23,1.5
2020,5,24,Trace
2020,5,25,32.4
2020,5,26,14.4
2020,5,27,0.1
2020,5,28,0.2
2020,5,29,0.2
2020,5,30,131.3
2020,5,31,Trace
2020,6,1,Trace
2020,6,2,6.4
2020,6,3,Trace
2020,6,4,Trace
2020,6,5,2.6
2020,6,6,183.8
2020,6,7,107.4
2020,6,8,40.9
2020,6,9,1.3
2020,6,10,0.2
2020,6,11,Trace
2020,6,12,0
2020,6,13,11.7
2020,6,14,29.3
2020,6,15,0.2
2020,6,16,9.4
2020,6,17,0.9
2020,6,18,0.1
2020,6,19,Trace
2020,6,20,0
2020,6,21,Trace
2020,6,22,Trace
2020,6,23,0
2020,6,24,0
2020,6,25,0.1
2020,6,26,1.3
2020,6,27,1.2
2020,6,28,Trace
2020,6,29,0.4
2020,6,30,Trace
2020,7,1,1.1
2020,7,2,9.3
2020,7,3,29.5
2020,7,4,8.3
2020,7,5,1.3
2020,7,6,4.1
2020,7,7,0.7
2020,7,8,0.6
2020,7,9,Trace
2020,7,10,0
2020,7,11,0
2020,7,12,0
2020,7,13,0
2020,7,14,0
2020,7,15,0
2020,7,16,2.4
2020,7,17,2.5
2020,7,18,2.2
2020,7,19,0
2020,7,20,3.1
2020,7,21,0
2020,7,22,2.5
2020,7,23,Trace
2020,7,24,0
2020,7,25,0
2020,7,26,Trace
2020,7,27,2.3
2020,7,28,3
2020,7,29,2.6
2020,7,30,13.3
2020,7,31,36.6
2020,8,1,28.3
2020,8,2,25.6
2020,8,3,46.9
2020,8,4,4.7
2020,8,5,53.3
2020,8,6,1.7
2020,8,7,0.2
2020,8,8,0
2020,8,9,0
2020,8,10,0
2020,8,11,0.6
2020,8,12,29.4
2020,8,13,16.5
2020,8,14,9.3
2020,8,15,0
2020,8,16,Trace
2020,8,17,16.6
2020,8,18,52.7
2020,8,19,119.5
2020,8,20,Trace
2020,8,21,0
2020,8,22,0
2020,8,23,0
2020,8,24,0
2020,8,25,1.1
2020,8,26,12.3
2020,8,27,3.1
2020,8,28,22.6
2020,8,29,3.2
2020,8,30,0.6
2020,8,31,0.2
2020,9,1,1.1
2020,9,2,0.4
2020,9,3,0.4
2020,9,4,0.1
2020,9,5,43.9
2020,9,6,0
2020,9,7,4.7
2020,9,8,68.9
2020,9,9,0.2
2020,9,10,8.2
2020,9,11,2.7
2020,9,12,27.9
2020,9,13,5.7
2020,9,14,38.2
2020,9,15,62.6
2020,9,16,4.4
2020,9,17,40.6
2020,9,18,15.9
2020,9,19,50.8
2020,9,20,0.7
2020,9,21,176.8
2020,9,22,0.5
2020,9,23,0
2020,9,24,0.6
2020,9,25,0
2020,9,26,Trace
2020,9,27,1.3
2020,9,28,26.2
2020,9,29,21.9
2020,9,30,104.1
2020,10,1,0.1
2020,10,2,0
2020,10,3,0
2020,10,4,0
2020,10,5,106.1
2020,10,6,2.7
2020,10,7,0
2020,10,8,0
2020,10,9,Trace
2020,10,10,Trace
2020,10,11,0
2020,10,12,0.6
2020,10,13,26
2020,10,14,1.2
2020,10,15,0
2020,10,16,Trace
2020,10,17,0.2
2020,10,18,0.7
2020,10,19,0
2020,10,20,0
2020,10,21,0
2020,10,22,0
2020,10,23,0
2020,10,24,Trace
2020,10,25,0
2020,10,26,0
2020,10,27,0
2020,10,28,4.7
2020,10,29,0.1
2020,10,30,Trace
2020,10,31,0
2020,11,1,0
2020,11,2,0
2020,11,3,0.1
2020,11,4,0.4
2020,11,5,0
2020,11,6,0
2020,11,7,0
2020,11,8,0
2020,11,9,Trace
2020,11,10,0
2020,11,11,0
2020,11,12,0
2020,11,13,0.4
2020,11,14,0
2020,11,15,Trace
2020,11,16,0
2020,11,17,Trace
2020,11,18,1
2020,11,19,Trace
2020,11,20,0
2020,11,21,2
2020,11,22,1.1
2020,11,23,Trace
2020,11,24,0
2020,11,25,0
2020,11,26,0
2020,11,27,0
2020,11,28,0
2020,11,29,0
2020,11,30,0.1
2020,12,1,0
2020,12,2,0
2020,12,3,0
2020,12,4,0
2020,12,5,0
2020,12,6,0
2020,12,7,0
2020,12,8,0
2020,12,9,Trace
2020,12,10,0.3
2020,12,11,Trace
2020,12,12,Trace
2020,12,13,0
2020,12,14,Trace
2020,12,15,Trace
2020,12,16,0
2020,12,17,0
2020,12,18,0
2020,12,19,0
2020,12,20,0
2020,12,21,0
2020,12,22,0
2020,12,23,1.2
2020,12,24,0
2020,12,25,0
2020,12,26,0
2020,12,27,0
2020,12,28,0
2020,12,29,0
2020,12,30,0
2020,12,31,0
2021,1,1,0
2021,1,2,0
2021,1,3,0
2021,1,4,0
2021,1,5,0
2021,1,6,0
2021,1,7,0
2021,1,8,0
2021,1,9,0
2021,1,10,0
2021,1,11,0
2021,1,12,0
2021,1,13,0
2021,1,14,0
2021,1,15,0
2021,1,16,0
2021,1,17,0
2021,1,18,0
2021,1,19,0
2021,1,20,0
2021,1,21,0
2021,1,22,0
2021,1,23,0
2021,1,24,Trace
2021,1,25,0
2021,1,26,0
2021,1,27,0
2021,1,28,0
2021,1,29,0
2021,1,30,0
2021,1,31,0
2021,2,1,0
2021,2,2,0
2021,2,3,0
2021,2,4,0
2021,2,5,0
2021,2,6,0
2021,2,7,0
2021,2,8,0
2021,2,9,Trace
2021,2,10,32.2
2021,2,11,0
2021,2,12,0
2021,2,13,0
2021,2,14,0
2021,2,15,0
2021,2,16,0
2021,2,17,0
2021,2,18,0
2021,2,19,0
2021,2,20,0
2021,2,21,0
2021,2,22,0
2021,2,23,0
2021,2,24,Trace
2021,2,25,1.8
2021,2,26,14.7
2021,2,27,13.4
2021,2,28,Trace
2021,3,1,Trace
2021,3,2,Trace
2021,3,3,0.3
2021,3,4,1
2021,3,5,Trace
2021,3,6,1.5
2021,3,7,0.2
2021,3,8,0.3
2021,3,9,0
2021,3,10,Trace
2021,3,11,0
2021,3,12,0
2021,3,13,Trace
2021,3,14,0
2021,3,15,0
2021,3,16,0
2021,3,17,Trace
2021,3,18,0.2
2021,3,19,Trace
2021,3,20,0
2021,3,21,0
2021,3,22,Trace
2021,3,23,0
2021,3,24,0
2021,3,25,0
2021,3,26,0
2021,3,27,0
2021,3,28,0
2021,3,29,0
2021,3,30,0
2021,3,31,0
2021,4,1,Trace
2021,4,2,0
2021,4,3,0
2021,4,4,0.8
2021,4,5,0.7
2021,4,6,0
2021,4,7,0
2021,4,8,0
2021,4,9,7.5
2021,4,10,0
2021,4,11,0
2021,4,12,0
2021,4,13,0
2021,4,14,Trace
2021,4,15,8.3
2021,4,16,1.5
2021,4,17,2.5
2021,4,18,Trace
2021,4,19,0
2021,4,20,0
2021,4,21,0
2021,4,22,0
2021,4,23,0
2021,4,24,Trace
2021,4,25,0.9
2021,4,26,0.3
2021,4,27,5.7
2021,4,28,4.2
2021,4,29,0.1
2021,4,30,0
2021,5,1,0
2021,5,2,1.2
2021,5,3,8.8
2021,5,4,12.5
2021,5,5,0.5
2021,5,6,Trace
2021,5,7,0
2021,5,8,0
2021,5,9,0
2021,5,10,0
2021,5,11,Trace
2021,5,12,Trace
2021,5,13,3.9
2021,5,14,0
2021,5,15,0
2021,5,16,Trace
2021,5,17,0
2021,5,18,1.3
2021,5,19,0
2021,5,20,0
2021,5,21,Trace
2021,5,22,2.6
2021,5,23,Trace
2021,5,24,15.7
2021,5,25,4.8
2021,5,26,4
2021,5,27,1
2021,5,28,0
2021,5,29,0
2021,5,30,Trace
2021,5,31,8.7
2021,6,1,45.8
2021,6,2,2.4
2021,6,3,0
2021,6,4,7.5
2021,6,5,Trace
2021,6,6,Trace
2021,6,7,Trace
2021,6,8,0.9
2021,6,9,48.6
2021,6,10,29.4
2021,6,11,31.2
2021,6,12,30.3
2021,6,13,2.8
2021,6,14,0.3
2021,6,15,6.2
2021,6,16,0
2021,6,17,9.6
2021,6,18,3.9
2021,6,19,Trace
2021,6,20,0
2021,6,21,1.2
2021,6,22,75.3
2021,6,23,66.4
2021,6,24,20.8
2021,6,25,6.8
2021,6,26,61.3
2021,6,27,5.8
2021,6,28,166.5
2021,6,29,4.6
2021,6,30,0.4
2021,7,1,Trace
2021,7,2,0
2021,7,3,Trace
2021,7,4,0
2021,7,5,2.3
2021,7,6,18.4
2021,7,7,11.7
2021,7,8,1.5
2021,7,9,0
2021,7,10,0
2021,7,11,Trace
2021,7,12,0.1
2021,7,13,0
2021,7,14,1.5
2021,7,15,0
2021,7,16,Trace
2021,7,17,0.2
2021,7,18,42.4
2021,7,19,117.2
2021,7,20,87.8
2021,7,21,28.4
2021,7,22,0
2021,7,23,0
2021,7,24,26.5
2021,7,25,8.9
2021,7,26,0
2021,7,27,Trace
2021,7,28,Trace
2021,7,29,7.8
2021,7,30,7.9
2021,7,31,16.9
2021,8,1,11.6
2021,8,2,Trace
2021,8,3,19.7
2021,8,4,41.9
2021,8,5,28.1
2021,8,6,31
2021,8,7,0
2021,8,8,3.1
2021,8,9,36.3
2021,8,10,17.3
2021,8,11,3
2021,8,12,1
2021,8,13,5.4
2021,8,14,2.2
2021,8,15,5.7
2021,8,16,3.9
2021,8,17,0
2021,8,18,0
2021,8,19,34.6
2021,8,20,Trace
2021,8,21,0
2021,8,22,0
2021,8,23,Trace
2021,8,24,23.7
2021,8,25,1.1
2021,8,26,2.2
2021,8,27,29.3
2021,8,28,22
2021,8,29,13.9
2021,8,30,Trace
2021,8,31,13.5
2021,9,1,5.9
2021,9,2,0
2021,9,3,Trace
2021,9,4,0.9
2021,9,5,Trace
2021,9,6,0
2021,9,7,0.2
2021,9,8,0
2021,9,9,0
2021,9,10,0
2021,9,11,0
2021,9,12,0
2021,9,13,0
2021,9,14,33.8
2021,9,15,0
2021,9,16,Trace
2021,9,17,7.6
2021,9,18,0.2
2021,9,19,21.2
2021,9,20,9.4
2021,9,21,10.2
2021,9,22,0.5
2021,9,23,38.4
2021,9,24,1.2
2021,9,25,0.1
2021,9,26,0
2021,9,27,0
2021,9,28,0
2021,9,29,0
2021,9,30,0
2021,10,1,Trace
2021,10,2,0
2021,10,3,1.9
2021,10,4,0
2021,10,5,Trace
2021,10,6,Trace
2021,10,7,43.9
2021,10,8,329.7
2021,10,9,130.3
2021,10,10,45.1
2021,10,11,0
2021,10,12,0.2
2021,10,13,57.7
2021,10,14,13.3
2021,10,15,4.6
2021,10,16,Trace
2021,10,17,0
2021,10,18,0
2021,10,19,0
2021,10,20,0.1
2021,10,21,0.7
2021,10,22,Trace
2021,10,23,0
2021,10,24,0
2021,10,25,0
2021,10,26,0
2021,10,27,Trace
2021,10,28,0.1
2021,10,29,1.1
2021,10,30,2.4
2021,10,31,0
2021,11,1,Trace
2021,11,2,Trace
2021,11,3,Trace
2021,11,4,0
2021,11,5,0
2021,11,6,0
2021,11,7,0
2021,11,8,2
2021,11,9,0
2021,11,10,0
2021,11,11,0
2021,11,12,0
2021,11,13,Trace
2021,11,14,0
2021,11,15,0
2021,11,16,0
2021,11,17,0
2021,11,18,0
2021,11,19,Trace
2021,11,20,0.3
2021,11,21,0
2021,11,22,3.5
2021,11,23,Trace
2021,11,24,0
2021,11,25,0
2021,11,26,0
2021,11,27,0
2021,11,28,0
2021,11,29,0
2021,11,30,0
2021,12,1,0
2021,12,2,0
2021,12,3,0
2021,12,4,0
2021,12,5,0
2021,12,6,0
2021,12,7,0
2021,12,8,0
2021,12,9,0
2021,12,10,0
2021,12,11,0
2021,12,12,0
2021,12,13,0
2021,12,14,Trace
2021,12,15,0.2
2021,12,16,Trace
2021,12,17,0
2021,12,18,0
2021,12,19,0
2021,12,20,9.4
2021,12,21,2.4
2021,12,22,Trace
2021,12,23,0.8
2021,12,24,1.7
2021,12,25,Trace
2021,12,26,3.5
2021,12,27,1.3
2021,12,28,0.2
2021,12,29,0
2021,12,30,0
2021,12,31,Trace
2022,1,1,0
2022,1,2,0
2022,1,3,0
2022,1,4,0
2022,1,5,Trace
2022,1,6,0
2022,1,7,0
2022,1,8,0
2022,1,9,0
2022,1,10,0
2022,1,11,1.2
2022,1,12,0
2022,1,13,Trace
2022,1,14,0
2022,1,15,0
2022,1,16,0
2022,1,17,0
2022,1,18,0.2
2022,1,19,0
2022,1,20,0
2022,1,21,0
2022,1,22,1.5
2022,1,23,0.1
2022,1,24,1
2022,1,25,0
2022,1,26,Trace
2022,1,27,Trace
2022,1,28,Trace
2022,1,29,0.1
2022,1,30,0
2022,1,31,Trace
2022,2,1,1.2
2022,2,2,1
2022,2,3,1
2022,2,4,0
2022,2,5,0
2022,2,6,0
2022,2,7,Trace
2022,2,8,Trace
2022,2,9,0
2022,2,10,0
2022,2,11,0
2022,2,12,0
2022,2,13,1.2
2022,2,14,1.2
2022,2,15,0
2022,2,16,0
2022,2,17,4
2022,2,18,Trace
2022,2,19,21.3
2022,2,20,43.4
2022,2,21,43.3
2022,2,22,39.9
2022,2,23,11
2022,2,24,0
2022,2,25,0
2022,2,26,0
2022,2,27,0
2022,2,28,0
2022,3,1,0
2022,3,2,0
2022,3,3,0
2022,3,4,0
2022,3,5,0
2022,3,6,0
2022,3,7,4.8
2022,3,8,0
2022,3,9,0
2022,3,10,0
2022,3,11,0
2022,3,12,0
2022,3,13,0.1
2022,3,14,0
2022,3,15,0
2022,3,16,Trace
2022,3,17,Trace
2022,3,18,0
2022,3,19,0
2022,3,20,Trace
2022,3,21,Trace
2022,3,22,Trace
2022,3,23,54.8
2022,3,24,1.8
2022,3,25,0.7
2022,3,26,0.1
2022,3,27,Trace
2022,3,28,30.3
2022,3,29,0.1
2022,3,30,0
2022,3,31,Trace
2022,4,1,0.5
2022,4,2,1.3
2022,4,3,0
2022,4,4,0
2022,4,5,0
2022,4,6,0
2022,4,7,0
2022,4,8,0
2022,4,9,0
2022,4,10,0
2022,4,11,0
2022,4,12,0
2022,4,13,Trace
2022,4,14,0
2022,4,15,Trace
2022,4,16,Trace
2022,4,17,0.4
2022,4,18,Trace
2022,4,19,0.8
2022,4,20,0
2022,4,21,0
2022,4,22,0
2022,4,23,Trace
2022,4,24,0
2022,4,25,0
2022,4,26,0
2022,4,27,0
2022,4,28,0
2022,4,29,0
2022,4,30,0.5
2022,5,1,32.4
2022,5,2,23.4
2022,5,3,0
2022,5,4,0
2022,5,5,0
2022,5,6,0
2022,5,7,0.8
2022,5,8,Trace
2022,5,9,Trace
2022,5,10,1.4
2022,5,11,61.4
2022,5,12,123.5
2022,5,13,107.1
2022,5,14,5
2022,5,15,26.2
2022,5,16,4.7
2022,5,17,0
2022,5,18,0
2022,5,19,0
2022,5,20,0
2022,5,21,0
2022,5,22,0.6
2022,5,23,11.2
2022,5,24,10.3
2022,5,25,1.3
2022,5,26,2.4
2022,5,27,24.7
2022,5,28,Trace
2022,5,29,Trace
2022,5,30,Trace
2022,5,31,0.1
2022,6,1,1.2
2022,6,2,11.9
2022,6,3,1.6
2022,6,4,Trace
2022,6,5,Trace
2022,6,6,2.5
2022,6,7,33.8
2022,6,8,66
2022,6,9,28.7
2022,6,10,25.8
2022,6,11,47.5
2022,6,12,2.6
2022,6,13,0
2022,6,14,42.8
2022,6,15,11
2022,6,16,2.6
2022,6,17,1
2022,6,18,1.3
2022,6,19,0.1
2022,6,20,2.8
2022,6,21,Trace
