Year,Month,Day,Value
2022,6,22,0
2022,6,23,0
2022,6,24,0
2022,6,25,0
2022,6,26,0.3
2022,6,27,0.1
2022,6,28,0
2022,6,29,0.7
2022,6,30,64.9
2022,7,1,63
2022,7,2,72.4
2022,7,3,0
2022,7,4,0.4
2022,7,5,0.2
2022,7,6,0.5
2022,7,7,13.1
2022,7,8,Trace
2022,7,9,Trace
2022,7,10,Trace
2022,7,11,0
2022,7,12,0
2022,7,13,0
2022,7,14,0
2022,7,15,0.2
2022,7,16,1.5
2022,7,17,1.2
2022,7,18,2.7
2022,7,19,Trace
2022,7,20,0.6
2022,7,21,0.3
2022,7,22,0
2022,7,23,0
2022,7,24,0
2022,7,25,0
2022,7,26,0
2022,7,27,0
2022,7,28,0
2022,7,29,0
2022,7,30,2.4
2022,7,31,0
2022,8,1,0
2022,8,2,0.2
2022,8,3,34.9
2022,8,4,14.9
2022,8,5,165.5
2022,8,6,5.5
2022,8,7,2.8
2022,8,8,33.3
2022,8,9,72
2022,8,10,49.7
2022,8,11,12.4
2022,8,12,76
2022,8,13,0
2022,8,14,0
2022,8,15,0
2022,8,16,9.1
2022,8,17,29.8
2022,8,18,22.1
2022,8,19,4.8
2022,8,20,8.4
2022,8,21,1.9
2022,8,22,0
2022,8,23,0
2022,8,24,5.5
2022,8,25,48.1
2022,8,26,0.1
2022,8,27,0
2022,8,28,0
2022,8,29,0
2022,8,30,13.1
2022,8,31,4.7
2022,9,1,2.8
2022,9,2,0
2022,9,3,0
2022,9,4,0
2022,9,5,0
2022,9,6,0
2022,9,7,8.6
2022,9,8,Trace
2022,9,9,0
2022,9,10,Trace
2022,9,11,0
2022,9,12,0
2022,9,13,0
2022,9,14,0
2022,9,15,0
2022,9,16,Trace
2022,9,17,Trace
2022,9,18,20.3
2022,9,19,3.3
2022,9,20,3.5
2022,9,21,8.5
2022,9,22,0
2022,9,23,13.4
2022,9,24,0
2022,9,25,0
2022,9,26,0
2022,9,27,Trace
2022,9,28,0
2022,9,29,8.1
2022,9,30,102.7
2022,10,1,2.6
2022,10,2,Trace
2022,10,3,0
2022,10,4,0
2022,10,5,Trace
2022,10,6,Trace
2022,10,7,22.8
2022,10,8,Trace
2022,10,9,4.8
2022,10,10,0
2022,10,11,0
2022,10,12,0
2022,10,13,0
2022,10,14,0
2022,10,15,0
2022,10,16,0
2022,10,17,Trace
2022,10,18,19.7
2022,10,19,0
2022,10,20,0
2022,10,21,0
2022,10,22,Trace
2022,10,23,0
2022,10,24,0
2022,10,25,0
2022,10,26,0
2022,10,27,0
2022,10,28,0
2022,10,29,0
2022,10,30,0
2022,10,31,0
2022,11,1,4.5
2022,11,2,23.7
2022,11,3,58.1
2022,11,4,4
2022,11,5,Trace
2022,11,6,6.6
2022,11,7,1.6
2022,11,8,7.7
2022,11,9,0
2022,11,10,0
2022,11,11,0
2022,11,12,Trace
2022,11,13,0
2022,11,14,0
2022,11,15,0
2022,11,16,0
2022,11,17,0
2022,11,18,0
2022,11,19,0
2022,11,20,0
2022,11,21,0.5
2022,11,22,2.5
2022,11,23,3.4
2022,11,24,9.6
2022,11,25,4.8
2022,11,26,0.5
2022,11,27,1.9
2022,11,28,1.4
2022,11,29,0
2022,11,30,0
2022,12,1,Trace
2022,12,2,0
2022,12,3,0
2022,12,4,0
2022,12,5,0
2022,12,6,0
2022,12,7,Trace
2022,12,8,0
2022,12,9,0
2022,12,10,0
2022,12,11,0
2022,12,12,Trace
2022,12,13,3.2
2022,12,14,8.7
2022,12,15,3.8
2022,12,16,0.9
2022,12,17,9.1
2022,12,18,Trace
2022,12,19,0
2022,12,20,0
2022,12,21,Trace
2022,12,22,0
2022,12,23,0
2022,12,24,0
2022,12,25,0
2022,12,26,0
2022,12,27,0
2022,12,28,0
2022,12,29,Trace
2022,12,30,0
2022,12,31,0
2023,1,1,0.1
2023,1,2,Trace
2023,1,3,Trace
2023,1,4,Trace
2023,1,5,0
2023,1,6,0
2023,1,7,0
2023,1,8,Trace
2023,1,9,0.1
2023,1,10,5.5
2023,1,11,3.2
2023,1,12,0.5
2023,1,13,4.5
2023,1,14,3.4
2023,1,15,Trace
2023,1,16,0
2023,1,17,0
2023,1,18,0
2023,1,19,0
2023,1,20,Trace
2023,1,21,Trace
2023,1,22,0.6
2023,1,23,0
2023,1,24,0.3
2023,1,25,0
2023,1,26,0
2023,1,27,0
2023,1,28,0
2023,1,29,0
2023,1,30,0
2023,1,31,0
2023,2,1,0
2023,2,2,0
2023,2,3,0
2023,2,4,0.4
2023,2,5,Trace
2023,2,6,0.1
2023,2,7,Trace
2023,2,8,Trace
2023,2,9,0.1
2023,2,10,0.1
2023,2,11,0.9
2023,2,12,Trace
2023,2,13,Trace
2023,2,14,0
2023,2,15,0
2023,2,16,0
2023,2,17,0
2023,2,18,0
2023,2,19,Trace
2023,2,20,0
2023,2,21,0
2023,2,22,0
2023,2,23,0
2023,2,24,0
2023,2,25,0
2023,2,26,0
2023,2,27,0
2023,2,28,0
2023,3,1,0
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,0
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0.1
2023,3,13,Trace
2023,3,14,0
2023,3,15,0
2023,3,16,Trace
2023,3,17,0.5
2023,3,18,0
2023,3,19,0.6
2023,3,20,0.3
2023,3,21,Trace
2023,3,22,Trace
2023,3,23,0
2023,3,24,0
2023,3,25,53.5
2023,3,26,5.9
2023,3,27,6.3
2023,3,28,Trace
2023,3,29,0.9
2023,3,30,0.3
2023,3,31,1.9
2023,4,1,0.7
2023,4,2,0.7
2023,4,3,2.1
2023,4,4,4
2023,4,5,0.4
2023,4,6,5.9
2023,4,7,4.4
2023,4,8,Trace
2023,4,9,2.6
2023,4,10,0
2023,4,11,0
2023,4,12,0
2023,4,13,0
2023,4,14,0
2023,4,15,0
2023,4,16,0
2023,4,17,Trace
2023,4,18,Trace
2023,4,19,26.5
2023,4,20,18.2
2023,4,21,4.3
2023,4,22,0.7
2023,4,23,0.4
2023,4,24,1
2023,4,25,4.4
2023,4,26,0
2023,4,27,0.3
2023,4,28,0.9
2023,4,29,Trace
2023,4,30,0
2023,5,1,0.3
2023,5,2,0
2023,5,3,0.1
2023,5,4,0
2023,5,5,0
2023,5,6,0
2023,5,7,35.5
2023,5,8,39.2
2023,5,9,0.1
2023,5,10,0
2023,5,11,0.5
2023,5,12,Trace
2023,5,13,9.5
2023,5,14,39.9
2023,5,15,0.1
2023,5,16,0.4
2023,5,17,32.7
2023,5,18,0
2023,5,19,0
2023,5,20,Trace
2023,5,21,1.5
2023,5,22,0
2023,5,23,8.3
2023,5,24,14.5
2023,5,25,Trace
2023,5,26,0.2
2023,5,27,0
2023,5,28,Trace
2023,5,29,0
2023,5,30,0
2023,5,31,Trace
2023,6,1,6
2023,6,2,0
2023,6,3,0.6
2023,6,4,5.1
2023,6,5,4.8
2023,6,6,31.1
2023,6,7,27.1
2023,6,8,2.6
2023,6,9,16.8
2023,6,10,0.3
2023,6,11,25.4
2023,6,12,0.2
2023,6,13,31.8
2023,6,14,62.8
2023,6,15,41.5
2023,6,16,41.7
2023,6,17,89.9
2023,6,18,35.8
2023,6,19,10.2
2023,6,20,2.3
2023,6,21,1.9
2023,6,22,0.6
2023,6,23,2.3
2023,6,24,8.2
2023,6,25,13
2023,6,26,11.4
2023,6,27,Trace
2023,6,28,5.4
2023,6,29,0.9
2023,6,30,11.2
2023,7,1,4.7
2023,7,2,15.6
2023,7,3,3.6
2023,7,4,10.6
2023,7,5,Trace
2023,7,6,Trace
2023,7,7,0.3
2023,7,8,0
2023,7,9,Trace
2023,7,10,0
2023,7,11,0
2023,7,12,0
2023,7,13,0
2023,7,14,0
2023,7,15,2.5
2023,7,16,4.9
2023,7,17,29
2023,7,18,10.9
2023,7,19,3.9
2023,7,20,4.8
2023,7,21,Trace
2023,7,22,0
2023,7,23,Trace
2023,7,24,0
2023,7,25,0
2023,7,26,0
2023,7,27,6.9
2023,7,28,0
2023,7,29,21
2023,7,30,10
2023,7,31,46.5
2023,8,1,Trace
2023,8,2,0
2023,8,3,0
2023,8,4,2.6
2023,8,5,5.9
2023,8,6,Trace
2023,8,7,1.6
2023,8,8,0
2023,8,9,Trace
2023,8,10,11.1
2023,8,11,26.4
2023,8,12,0.9
2023,8,13,34.2
2023,8,14,3.6
2023,8,15,Trace
2023,8,16,0
2023,8,17,Trace
2023,8,18,9.3
2023,8,19,0.3
2023,8,20,0.6
2023,8,21,0.2
2023,8,22,0.3
2023,8,23,0.3
2023,8,24,5.7
2023,8,25,0.2
2023,8,26,0
2023,8,27,2.2
2023,8,28,0.5
2023,8,29,34.4
2023,8,30,0
2023,8,31,0.4
2023,9,1,98.9
2023,9,2,80.4
2023,9,3,0.1
2023,9,4,Trace
2023,9,5,0.4
2023,9,6,0
2023,9,7,215.7
2023,9,8,425
2023,9,9,9.8
2023,9,10,67.4
2023,9,11,20.5
2023,9,12,0.9
2023,9,13,2.5
2023,9,14,103.5
2023,9,15,28.5
2023,9,16,4.3
2023,9,17,0
2023,9,18,0
2023,9,19,0
2023,9,20,0
2023,9,21,0
2023,9,22,Trace
2023,9,23,0
2023,9,24,0
2023,9,25,1.5
2023,9,26,0
2023,9,27,Trace
2023,9,28,0
2023,9,29,7.7
2023,9,30,0
2023,10,1,0
2023,10,2,0.4
2023,10,3,Trace
2023,10,4,0
2023,10,5,0
2023,10,6,Trace
2023,10,7,1.9
2023,10,8,92.2
2023,10,9,369.7
2023,10,10,2.3
2023,10,11,0
2023,10,12,0
2023,10,13,0
2023,10,14,0
2023,10,15,0.1
2023,10,16,0
2023,10,17,Trace
2023,10,18,38.3
2023,10,19,27.9
2023,10,20,0.2
2023,10,21,Trace
2023,10,22,Trace
2023,10,23,Trace
2023,10,24,0
2023,10,25,0
2023,10,26,0
2023,10,27,0
2023,10,28,9.5
2023,10,29,3.5
2023,10,30,Trace
2023,10,31,0
2023,11,1,0
2023,11,2,0
2023,11,3,0
2023,11,4,0
2023,11,5,0
2023,11,6,0
2023,11,7,0
2023,11,8,0
2023,11,9,Trace
2023,11,10,0
2023,11,11,2.5
2023,11,12,0.6
2023,11,13,0
2023,11,14,0
2023,11,15,0
2023,11,16,0
2023,11,17,0
2023,11,18,0
2023,11,19,0
2023,11,20,0
2023,11,21,0
2023,11,22,0
2023,11,23,0
2023,11,24,0
2023,11,25,0
2023,11,26,0
2023,11,27,0
2023,11,28,Trace
2023,11,29,0.2
2023,11,30,0
2023,12,1,0
2023,12,2,0
2023,12,3,Trace
2023,12,4,Trace
2023,12,5,0
2023,12,6,Trace
2023,12,7,0
2023,12,8,0
2023,12,9,0
2023,12,10,Trace
2023,12,11,0.3
2023,12,12,0.3
2023,12,13,Trace
2023,12,14,Trace
2023,12,15,0
2023,12,16,0.1
2023,12,17,0
2023,12,18,Trace
2023,12,19,0
2023,12,20,0
2023,12,21,0
2023,12,22,0
2023,12,23,0.2
2023,12,24,0
2023,12,25,0
2023,12,26,0
2023,12,27,Trace
2023,12,28,Trace
2023,12,29,0
2023,12,30,Trace
2023,12,31,0
2024,1,1,0
2024,1,2,0
2024,1,3,0
2024,1,4,0
2024,1,5,0
2024,1,6,0
2024,1,7,0
2024,1,8,Trace
2024,1,9,Trace
2024,1,10,0
2024,1,11,Trace
2024,1,12,0
2024,1,13,0
2024,1,14,0
2024,1,15,0
2024,1,16,0
2024,1,17,0.1
2024,1,18,0
2024,1,19,0
2024,1,20,0
2024,1,21,Trace
2024,1,22,0.5
2024,1,23,2.7
2024,1,24,0
2024,1,25,0
2024,1,26,0
2024,1,27,1
2024,1,28,2.4
2024,1,29,Trace
2024,1,30,Trace
2024,1,31,Trace
2024,2,1,0.2
2024,2,2,Trace
2024,2,3,Trace
2024,2,4,Trace
2024,2,5,Trace
2024,2,6,0.6
2024,2,7,Trace
2024,2,8,2.2
2024,2,9,0.6
2024,2,10,0.5
2024,2,11,0
2024,2,12,0
2024,2,13,0
2024,2,14,0
2024,2,15,0
2024,2,16,Trace
2024,2,17,Trace
2024,2,18,0
2024,2,19,0
2024,2,20,0
2024,2,21,0
2024,2,22,0
2024,2,23,Trace
2024,2,24,Trace
2024,2,25,0
2024,2,26,Trace
2024,2,27,Trace
2024,2,28,Trace
2024,2,29,Trace
2024,3,1,Trace
2024,3,2,0.3
2024,3,3,0.2
2024,3,4,1.4
2024,3,5,Trace
2024,3,6,0.1
2024,3,7,Trace
2024,3,8,0.2
2024,3,9,2.1
2024,3,10,4.6
2024,3,11,11.7
2024,3,12,0
2024,3,13,Trace
2024,3,14,0
2024,3,15,0
2024,3,16,Trace
2024,3,17,0
2024,3,18,0.6
2024,3,19,0.3
2024,3,20,0
2024,3,21,Trace
2024,3,22,Trace
2024,3,23,0
2024,3,24,0
2024,3,25,0
2024,3,26,0
2024,3,27,Trace
2024,3,28,0
2024,3,29,Trace
2024,3,30,Trace
2024,3,31,0.1
2024,4,1,Trace
2024,4,2,0
2024,4,3,Trace
2024,4,4,Trace
2024,4,5,0.3
2024,4,6,2.7
2024,4,7,0.9
2024,4,8,0
2024,4,9,Trace
2024,4,10,0
2024,4,11,0
2024,4,12,0
2024,4,13,0
2024,4,14,0
2024,4,15,0
2024,4,16,0
2024,4,17,0
2024,4,18,8.6
2024,4,19,2.2
2024,4,20,42.2
2024,4,21,81.6
2024,4,22,13.2
2024,4,23,40
2024,4,24,Trace
2024,4,25,5.7
2024,4,26,25
2024,4,27,0.8
2024,4,28,12.2
2024,4,29,0
2024,4,30,21.7
2024,5,1,52.9
2024,5,2,1.1
2024,5,3,Trace
2024,5,4,75.1
2024,5,5,5.3
2024,5,6,0
2024,5,7,0
2024,5,8,Trace
2024,5,9,0
2024,5,10,Trace
2024,5,11,Trace
2024,5,12,3.1
2024,5,13,0.7
2024,5,14,0
2024,5,15,0
2024,5,16,0
2024,5,17,Trace
2024,5,18,Trace
2024,5,19,17.5
2024,5,20,30.7
2024,5,21,45.3
2024,5,22,Trace
2024,5,23,2.5
2024,5,24,17.6
2024,5,25,7.8
2024,5,26,0.3
2024,5,27,6.7
2024,5,28,8.9
2024,5,29,0
2024,5,30,3.7
2024,5,31,13.4
2024,6,1,54.2
2024,6,2,3.2
2024,6,3,8.6
2024,6,4,2.9
2024,6,5,8.5
2024,6,6,Trace
2024,6,7,1.6
2024,6,8,6.8
2024,6,9,33.5
2024,6,10,0.2
2024,6,11,0.6
2024,6,12,8.3
2024,6,13,4.9
2024,6,14,32
2024,6,15,28.3
2024,6,16,17.5
2024,6,17,Trace
2024,6,18,4.6
2024,6,19,9.4
2024,6,20,5
2024,6,21,0
2024,6,22,0
2024,6,23,4.7
2024,6,24,0.3
2024,6,25,19
2024,6,26,0
2024,6,27,1.4
2024,6,28,1.6
2024,6,29,15.5
2024,6,30,8.7
2024,7,1,2.5
2024,7,2,5.3
2024,7,3,0
2024,7,4,5.1
2024,7,5,1.5
2024,7,6,0.2
2024,7,7,Trace
2024,7,8,0.2
2024,7,9,Trace
2024,7,10,10.7
2024,7,11,6.5
2024,7,12,24.4
2024,7,13,8
2024,7,14,90
2024,7,15,13.6
2024,7,16,15.7
2024,7,17,13.7
2024,7,18,19.6
2024,7,19,40.5
2024,7,20,3.7
2024,7,21,4.7
2024,7,22,0.2
2024,7,23,0
2024,7,24,0
2024,7,25,Trace
2024,7,26,3.9
2024,7,27,34.7
2024,7,28,69.4
2024,7,29,6.7
2024,7,30,29.5
2024,7,31,48.2
2024,8,1,2.3
2024,8,2,0.4
2024,8,3,0
2024,8,4,0
2024,8,5,0
2024,8,6,10.3
2024,8,7,0
2024,8,8,0
2024,8,9,0
2024,8,10,Trace
2024,8,11,0
2024,8,12,20.9
2024,8,13,5
2024,8,14,0.1
2024,8,15,8
2024,8,16,0.4
2024,8,17,116.2
2024,8,18,32.5
2024,8,19,19.3
2024,8,20,11.4
2024,8,21,3.9
2024,8,22,0
2024,8,23,0
2024,8,24,0
2024,8,25,0
2024,8,26,0
2024,8,27,0
2024,8,28,Trace
2024,8,29,Trace
2024,8,30,23.3
2024,8,31,7.5
2024,9,1,Trace
2024,9,2,Trace
2024,9,3,35.5
2024,9,4,0.6
2024,9,5,21.5
2024,9,6,84.1
2024,9,7,5.8
2024,9,8,37.8
2024,9,9,13
2024,9,10,0
2024,9,11,0
2024,9,12,0
2024,9,13,0.1
2024,9,14,57.2
2024,9,15,2.4
2024,9,16,27.4
2024,9,17,16
2024,9,18,Trace
2024,9,19,0
2024,9,20,4.6
2024,9,21,72.9
2024,9,22,32.1
2024,9,23,24.9
2024,9,24,75
2024,9,25,5.4
2024,9,26,0
2024,9,27,0
2024,9,28,1.3
2024,9,29,3.3
2024,9,30,0
2024,10,1,0
2024,10,2,0
2024,10,3,0
2024,10,4,0
2024,10,5,0
2024,10,6,0
2024,10,7,0
2024,10,8,0
2024,10,9,Trace
2024,10,10,Trace
2024,10,11,8.7
2024,10,12,0
2024,10,13,0
2024,10,14,0
2024,10,15,0
2024,10,16,Trace
2024,10,17,Trace
2024,10,18,Trace
2024,10,19,0
2024,10,20,1.9
2024,10,21,Trace
2024,10,22,0
2024,10,23,0
2024,10,24,0
2024,10,25,0
2024,10,26,0.7
2024,10,27,Trace
2024,10,28,Trace
2024,10,29,Trace
2024,10,30,0
2024,10,31,0
2024,11,1,0
2024,11,2,0
2024,11,3,0
2024,11,4,Trace
2024,11,5,Trace
2024,11,6,Trace
2024,11,7,Trace
2024,11,8,0
2024,11,9,1.9
2024,11,10,6.2
2024,11,11,0
2024,11,12,0
2024,11,13,14.8
2024,11,14,6.3
2024,11,15,36.6
2024,11,16,33.3
2024,11,17,6.1
2024,11,18,Trace
2024,11,19,7.3
2024,11,20,73.8
2024,11,21,5.6
2024,11,22,Trace
2024,11,23,Trace
2024,11,24,1
2024,11,25,Trace
2024,11,26,1.2
2024,11,27,0
2024,11,28,0
2024,11,29,0
2024,11,30,0
